Sample name	Superpop. code	Suffix	Sex	Superpop.	Subpop.	Subpop. Code
GM19625	AFR	19625	female	African Ancestry	African Ancestry SW	ASW
GM19700	AFR	19700	male	African Ancestry	African Ancestry SW	ASW
GM19701	AFR	19701	female	African Ancestry	African Ancestry SW	ASW
GM19702	AFR	19702	male	African Ancestry	African Ancestry SW	ASW
GM19703	AFR	19703	male	African Ancestry	African Ancestry SW	ASW
GM19704	AFR	19704	female	African Ancestry	African Ancestry SW	ASW
GM19705	AFR	19705	male	African Ancestry	African Ancestry SW	ASW
GM19707	AFR	19707	female	African Ancestry	African Ancestry SW	ASW
GM19711	AFR	19711	male	African Ancestry	African Ancestry SW	ASW
GM19712	AFR	19712	female	African Ancestry	African Ancestry SW	ASW
GM19713	AFR	19713	female	African Ancestry	African Ancestry SW	ASW
GM19818	AFR	19818	male	African Ancestry	African Ancestry SW	ASW
GM19819	AFR	19819	female	African Ancestry	African Ancestry SW	ASW
GM19828	AFR	19828	male	African Ancestry	African Ancestry SW	ASW
GM19834	AFR	19834	male	African Ancestry	African Ancestry SW	ASW
GM19835	AFR	19835	female	African Ancestry	African Ancestry SW	ASW
GM19836	AFR	19836	female	African Ancestry	African Ancestry SW	ASW
GM19900	AFR	19900	male	African Ancestry	African Ancestry SW	ASW
GM19901	AFR	19901	female	African Ancestry	African Ancestry SW	ASW
GM19902	AFR	19902	female	African Ancestry	African Ancestry SW	ASW
GM19904	AFR	19904	male	African Ancestry	African Ancestry SW	ASW
GM19908	AFR	19908	male	African Ancestry	African Ancestry SW	ASW
GM19909	AFR	19909	female	African Ancestry	African Ancestry SW	ASW
GM19913	AFR	19913	female	African Ancestry	African Ancestry SW	ASW
GM19914	AFR	19914	female	African Ancestry	African Ancestry SW	ASW
GM19916	AFR	19916	male	African Ancestry	African Ancestry SW	ASW
GM19917	AFR	19917	female	African Ancestry	African Ancestry SW	ASW
GM19918	AFR	19918	male	African Ancestry	African Ancestry SW	ASW
GM19919	AFR	19919	male	African Ancestry	African Ancestry SW	ASW
GM19920	AFR	19920	male	African Ancestry	African Ancestry SW	ASW
GM19921	AFR	19921	female	African Ancestry	African Ancestry SW	ASW
GM19922	AFR	19922	male	African Ancestry	African Ancestry SW	ASW
GM19923	AFR	19923	female	African Ancestry	African Ancestry SW	ASW
GM19924	AFR	19924	female	African Ancestry	African Ancestry SW	ASW
GM19982	AFR	19982	male	African Ancestry	African Ancestry SW	ASW
GM19983	AFR	19983	female	African Ancestry	African Ancestry SW	ASW
GM19984	AFR	19984	male	African Ancestry	African Ancestry SW	ASW
GM20126	AFR	20126	male	African Ancestry	African Ancestry SW	ASW
GM20127	AFR	20127	female	African Ancestry	African Ancestry SW	ASW
GM20128	AFR	20128	female	African Ancestry	African Ancestry SW	ASW
GM20129	AFR	20129	female	African Ancestry	African Ancestry SW	ASW
GM20274	AFR	20274	female	African Ancestry	African Ancestry SW	ASW
GM20276	AFR	20276	female	African Ancestry	African Ancestry SW	ASW
GM20278	AFR	20278	male	African Ancestry	African Ancestry SW	ASW
GM20279	AFR	20279	male	African Ancestry	African Ancestry SW	ASW
GM20281	AFR	20281	male	African Ancestry	African Ancestry SW	ASW
GM20282	AFR	20282	female	African Ancestry	African Ancestry SW	ASW
GM20287	AFR	20287	female	African Ancestry	African Ancestry SW	ASW
GM20289	AFR	20289	female	African Ancestry	African Ancestry SW	ASW
GM20291	AFR	20291	male	African Ancestry	African Ancestry SW	ASW
GM20294	AFR	20294	female	African Ancestry	African Ancestry SW	ASW
GM20296	AFR	20296	female	African Ancestry	African Ancestry SW	ASW
GM20298	AFR	20298	male	African Ancestry	African Ancestry SW	ASW
GM20299	AFR	20299	female	African Ancestry	African Ancestry SW	ASW
GM20314	AFR	20314	female	African Ancestry	African Ancestry SW	ASW
GM20317	AFR	20317	female	African Ancestry	African Ancestry SW	ASW
GM20318	AFR	20318	male	African Ancestry	African Ancestry SW	ASW
GM20320	AFR	20320	female	African Ancestry	African Ancestry SW	ASW
GM20321	AFR	20321	female	African Ancestry	African Ancestry SW	ASW
GM20332	AFR	20332	female	African Ancestry	African Ancestry SW	ASW
GM20334	AFR	20334	female	African Ancestry	African Ancestry SW	ASW
GM20339	AFR	20339	female	African Ancestry	African Ancestry SW	ASW
GM20340	AFR	20340	male	African Ancestry	African Ancestry SW	ASW
GM20342	AFR	20342	male	African Ancestry	African Ancestry SW	ASW
GM20346	AFR	20346	male	African Ancestry	African Ancestry SW	ASW
GM20348	AFR	20348	male	African Ancestry	African Ancestry SW	ASW
GM20351	AFR	20351	male	African Ancestry	African Ancestry SW	ASW
GM20355	AFR	20355	female	African Ancestry	African Ancestry SW	ASW
GM20356	AFR	20356	male	African Ancestry	African Ancestry SW	ASW
GM20357	AFR	20357	female	African Ancestry	African Ancestry SW	ASW
GM20358	AFR	20358	male	African Ancestry	African Ancestry SW	ASW
GM20359	AFR	20359	female	African Ancestry	African Ancestry SW	ASW
GM20362	AFR	20362	male	African Ancestry	African Ancestry SW	ASW
GM20412	AFR	20412	female	African Ancestry	African Ancestry SW	ASW
HG01879	AFR	1879	male	African Ancestry	African Caribbean	ACB
HG01880	AFR	1880	female	African Ancestry	African Caribbean	ACB
HG01881	AFR	1881	female	African Ancestry	African Caribbean	ACB
HG01882	AFR	1882	male	African Ancestry	African Caribbean	ACB
HG01883	AFR	1883	female	African Ancestry	African Caribbean	ACB
HG01884	AFR	1884	female	African Ancestry	African Caribbean	ACB
HG01885	AFR	1885	male	African Ancestry	African Caribbean	ACB
HG01886	AFR	1886	female	African Ancestry	African Caribbean	ACB
HG01887	AFR	1887	male	African Ancestry	African Caribbean	ACB
HG01888	AFR	1888	male	African Ancestry	African Caribbean	ACB
HG01889	AFR	1889	female	African Ancestry	African Caribbean	ACB
HG01890	AFR	1890	male	African Ancestry	African Caribbean	ACB
HG01891	AFR	1891	female	African Ancestry	African Caribbean	ACB
HG01894	AFR	1894	female	African Ancestry	African Caribbean	ACB
HG01895	AFR	1895	male	African Ancestry	African Caribbean	ACB
HG01896	AFR	1896	female	African Ancestry	African Caribbean	ACB
HG01897	AFR	1897	male	African Ancestry	African Caribbean	ACB
HG01912	AFR	1912	male	African Ancestry	African Caribbean	ACB
HG01914	AFR	1914	male	African Ancestry	African Caribbean	ACB
HG01915	AFR	1915	female	African Ancestry	African Caribbean	ACB
HG01916	AFR	1916	female	African Ancestry	African Caribbean	ACB
HG01956	AFR	1956	female	African Ancestry	African Caribbean	ACB
